案件編號,發生時間,災情類別,相近地點,災情描述,權責單位,通報來源,lat,log
42020015683587,2020-03-02 10:10,"[道路、隧道災情]
工區及周邊區域損壞",屏東縣長治鄉,12345,,災情查報,22.698643,120.602441
42020019986327,2020-03-06 14:25,"[橋梁災情]
河川水位達警戒水位及封閉橋梁",屏東縣屏東市,"因雨水下太大,造成水門功能失效",,災情查報,22.6702874,120.4910256
42020019986323,2020-03-06 14:41,"[橋梁災情]
橋梁斷裂",屏東縣霧臺鄉[屏東縣霧臺鄉台28線20.5公里處],要2人傷亡,,災情查報,22.74896459,120.72862195
42020019986321,2020-03-06 14:41,"[積淹水災情]
道路積淹水",屏東縣九如鄉[屏東縣九如鄉耆老村11鄰九如路三段429號],積水淹三層樓,,災情查報,22.754512,120.491599
42020019986319,2020-03-06 14:41,"[水利設施災情]
其他",屏東縣牡丹鄉[屏東縣牡丹鄉石門村3鄰石門路1之28號],牡丹鄉牡丹水庫潰壩,,災情查報,22.129291,120.779401
42020019986309,2020-03-06 14:41,"[積淹水災情]
道路積淹水",屏東縣鹽埔鄉,短時強降雨造成積淹水,,災情查報,22.740493,120.532299
42020019986317,2020-03-06 14:41,"[積淹水災情]
道路積淹水",屏東縣佳冬鄉[屏東縣佳冬鄉羌園村4鄰羗光路168號],豪雨太大淹水嚴中重,,災情查報,22.41930402,120.55232433
42020019986380,2020-03-06 14:41,"[路樹災情]
路樹傾斜",屏東縣滿州鄉中山路43號,因為風太大造成路樹傾銷,,災情查報,22.020839,120.838572
42020019986400,2020-03-06 14:42,"[廣告招牌災情]
廣告招牌掉落",屏東縣枋寮鄉,房屋倒塌,,災情查報,22.366591,120.599567
42020019986329,2020-03-06 14:42,"[廣告招牌災情]
廣告招牌欲墜",屏東縣屏東市[屏東縣屏東市建國里2鄰蕉市巷2之1號],廣告招牌搖搖晃晃有可能雜傷人,,災情查報,22.667746,120.485407
42020019986346,2020-03-06 14:42,"[其他災情]
其他",屏東縣萬丹鄉萬丹國小,女老師愛上我,,災情查報,22.58939709,120.48488495
42020019986415,2020-03-06 14:42,"[水利設施災情]
堤防毀損",屏東縣恆春鎮[屏東縣恆春鎮南灣里6鄰獅頭路顧問巷4弄8號],"台灣海峽與巴士海峽中間板塊擠壓造成劇烈地震,芮氏規模8.0地震，造成海嘯15公尺高，尤於震央接近陸地近台電核三廠，大水瞬間沖毀阻絕圍籬，造成斷然系統失效，恐有輻射外洩之疑慮。(測試)TEST2",,災情查報,21.961267,120.761039
42020019986378,2020-03-06 14:42,"[土石災情]
土石崩落",屏東縣霧臺鄉,一部自小客車遭土石淹埋，車內有2人重傷,,災情查報,22.74896459,120.72862195
42020019986440,2020-03-06 14:43,"[土石災情]
土石崩落",屏東縣霧臺鄉佳暮村流川巷3號,佳暮村因土石崩塌大範圍崩塌原鄉居民約15人受困交通中斷,,災情查報,22.74896459,120.72862195
42020019986427,2020-03-06 14:44,"[建物毀損]
建物全倒",屏東縣枋寮鄉德興路[屏東縣枋寮鄉枋寮村10鄰德興路36號],因地震枋寮鄉公所倒塌全毀，電力中斷-續報,,災情查報,22.36552,120.59351
42020019986406,2020-03-06 14:45,"[土石災情]
土石崩落",屏東縣瑪家鄉[屏東縣瑪家鄉北葉村8鄰風景250號],山豬奔跑，造成不落後山土石崩落，居民逃生不及，土石淹埋多數居民。,,災情查報,22.704398,120.650026
42020019986398,2020-03-06 14:45,"[廣告招牌災情]
廣告招牌欲墜",屏東縣東港鎮[屏東縣東港鎮新勝里29鄰中山路2之197號],包子店招牌搖搖欲墜，螺絲砸傷散步老人,,災情查報,22.465762,120.454451
42020019986365,2020-03-06 14:46,"[土石災情]
土石流",屏東縣泰武鄉,大雨直直落，土石直直落,,災情查報,22.565031,120.661903
42020019986390,2020-03-06 14:48,"[其他災情]
其他",屏東縣萬丹鄉[屏東縣萬丹鄉四維村11鄰萬丹路一段501號],所有女人都愛上我ㄌ,,災情查報,22.594933,120.488614
42020019986384,2020-03-06 14:48,"[積淹水災情]
地區積淹水",屏東縣長治鄉[屏東縣長治鄉繁華村8鄰水源路169巷7號],水災嚴重,,災情查報,22.695698,120.558733
42020019986404,2020-03-06 14:49,"[路樹災情]
路樹倒塌",屏東縣新園鄉,路樹倒塌,,災情查報,22.54764,120.473233
42020022523913,2020-03-16 16:55,"[路樹災情]
路樹倒塌",屏東縣屏東市忠孝路226號,測試,"交通部公路總局第三區養護工程處(待處理)
屏東縣屏東市衛生所(待處理)
屏東縣屏東市戶政事務所(待處理)
屏東縣政府工務處(待處理)
屏東縣屏東市清潔隊(待處理)
屏東市公所(已處理)",災情查報,22.693037,120.490286
42020023463235,2020-03-18 11:44,"[道路、隧道災情]
道路落石",屏東縣里港鄉玉田村八德路487之3號,該地區淹水,,災情查報,22.774713,120.483631
42020023463240,2020-03-18 16:28,"[路樹災情]
路樹倒塌",屏東縣新埤鄉,118線鄉立幼兒園陸樹倒塌,新埤鄉公所(已處理),災情查報,22.478827,120.561789
42020023463242,2020-03-18 16:28,"[路樹災情]
路樹倒塌",屏東縣新埤鄉,118線鄉立幼兒園陸樹倒塌,新埤鄉公所(已處理),災情查報,22.478827,120.561789
42020023463244,2020-03-18 16:37,"[路樹災情]
路樹傾斜",屏東縣新埤鄉民眾路78,陸樹倒塌,新埤鄉公所(已處理),災情查報,22.468727,120.585449
42020023463446,2020-03-19 11:20,"[橋梁災情]
橋墩基礎沖刷",屏東縣霧臺鄉霧台村神山巷73號,交通中斷,"交通部公路總局第三區養護工程處(待處理)
屏東縣政府警察局(待處理)
屏東縣政府工務處(待處理)
屏東縣政府水利處(已處理)",災情查報,22.748939,120.728315
42020023463449,2020-03-19 14:32,"[廣告招牌災情]
廣告招牌欲墜",屏東縣屏東市台糖街,風大,,災情查報,22.661841,120.492475
42020023463682,2020-03-20 10:15,"[路樹災情]
路樹倒塌",屏東縣枋山鄉[屏東縣枋山鄉枋山村1鄰枋山路47巷37之1號],風勢過大，路樹倒塌,枋山鄉公所(已處理),災情查報,22.264497,120.652154
